¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,½»Ò×ÈÕÆÚ,ÐÂÀËÐÐÒµ,ÐÂÀË¸ÅÄî,ÐÂÀËµØÓò,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,ºó¸´È¨¼Û,Ç°¸´È¨¼Û,ÕÇµø·ù,³É½»Á¿,³É½»¶î,»»ÊÖÂÊ,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ,ÊÇ·ñÕÇÍ£,ÊÇ·ñµøÍ£,ÊÐÓ¯ÂÊTTM,ÊÐÏúÂÊTTM,ÊÐÏÖÂÊTTM,ÊÐ¾»ÂÊ,MA_5,MA_10,MA_20,MA_30,MA_60,MA½ð²æËÀ²æ,MACD_DIF,MACD_DEA,MACD_MACD,MACD_½ð²æËÀ²æ,KDJ_K,KDJ_D,KDJ_J,KDJ_½ð²æËÀ²æ,²¼ÁÖÏßÖÐ¹ì,²¼ÁÖÏßÉÏ¹ì,²¼ÁÖÏßÏÂ¹ì,psy,psyma,rsi1,rsi2,rsi3,Õñ·ù,Á¿±È
sh600001,ºªµ¦¸ÖÌú,2009-12-15,,,,5.290000,5.310000,5.210000,5.290000,13.720879,,-0.011215,131004969.000000,689340920.000000,0.046514,14899055250.000000,14899055250.000000,0.000000,0.000000,-673.714678,0.460574,5.190511,1.200098,,,,,,,,,,,31.315603,43.390066,7.166677,,,,,58.333333,63.888889,,,,0.018692,1.452381
sh600001,ºªµ¦¸ÖÌú,2009-12-14,,,,5.470000,5.470000,5.200000,5.350000,13.876504,,-0.027273,130704741.000000,690960594.000000,0.046408,15068042640.000000,15068042640.000000,0.000000,0.000000,-681.356086,0.465798,5.249383,1.213710,,,,,,,,,,,39.942154,49.427297,20.971868,,,,,58.333333,68.055556,,,,0.049091,1.735256
sh600001,ºªµ¦¸ÖÌú,2009-12-11,,,,5.680000,5.730000,5.450000,5.500000,14.265569,,-0.021352,104960264.000000,584602657.000000,0.037267,15490511130.000000,15490511130.000000,0.000000,0.000000,-700.459724,0.478857,5.396563,1.247739,,,,,,,,,,,48.194481,54.169869,36.243706,ËÀ²æ,,,,58.333333,72.222222,,,,0.049822,1.648628
sh600001,ºªµ¦¸ÖÌú,2009-12-10,,,,5.620000,5.700000,5.550000,5.620000,14.576813,,0.010791,44208092.000000,248443079.000000,0.015696,15828485920.000000,15828485920.000000,0.000000,0.000000,-715.742253,0.489305,5.514304,1.274962,,,,,,,,,,,58.461935,57.157563,61.070679,,,,,66.666667,75.000000,,,,0.026978,0.732077
sh600001,ºªµ¦¸ÖÌú,2009-12-09,,,,5.630000,5.690000,5.510000,5.560000,14.421194,,-0.026270,40122678.000000,224938898.000000,0.014246,15659498520.000000,15659498520.000000,0.000000,0.000000,-708.101133,0.484081,5.455435,1.261351,,,,,,,,,,,57.692902,56.505376,60.067953,,,,,66.666667,76.388889,,,,0.031524,0.610857
sh600001,ºªµ¦¸ÖÌú,2009-12-08,,,,5.820000,5.830000,5.650000,5.710000,14.810260,,-0.018900,56619400.000000,323530942.000000,0.020103,16081967010.000000,16081967010.000000,0.000000,0.000000,-727.204804,0.497141,5.602616,1.295381,,,,,,,,,,,61.993898,55.911614,74.158468,,,,,75.000000,77.777778,,,,0.030928,0.816992
sh600001,ºªµ¦¸ÖÌú,2009-12-07,,,,5.720000,5.840000,5.680000,5.820000,15.095566,,0.013937,72415605.000000,418272128.000000,0.025712,16391777230.000000,16391777230.000000,0.000000,0.000000,-741.213743,0.506718,5.710545,1.320335,,,,,,,,,,,60.683155,52.870471,76.308523,,,,,83.333333,76.388889,,,,0.027875,1.041750
sh600001,ºªµ¦¸ÖÌú,2009-12-04,,,,5.650000,5.780000,5.500000,5.740000,14.888071,,0.012346,88570184.000000,502178000.000000,0.031447,16166460710.000000,16166460710.000000,0.000000,0.000000,-731.025442,0.499753,5.632051,1.302186,,,,,,,,,,,50.255502,48.964130,52.838247,½ð²æ,,,,83.333333,73.611111,,,,0.049383,1.356298
sh600001,ºªµ¦¸ÖÌú,2009-12-03,,,,5.620000,5.730000,5.490000,5.670000,14.706504,,0.007105,70685067.000000,396275120.000000,0.025097,15969308750.000000,15969308750.000000,0.000000,0.000000,-722.110268,0.493658,5.563366,1.286306,,,,,,,,,,,45.383253,48.318443,39.512873,,,,,75.000000,70.833333,,,,0.042629,1.219982
sh600001,ºªµ¦¸ÖÌú,2009-12-02,,,,5.630000,5.680000,5.560000,5.630000,14.602752,,0.001779,58221282.000000,327325388.000000,0.020672,15856650480.000000,15856650480.000000,0.000000,0.000000,-717.015871,0.490176,5.524117,1.277231,,,,,,,,,,,42.741547,49.786038,28.652563,,,,,75.000000,69.444444,,,,0.021352,0.968527
sh600001,ºªµ¦¸ÖÌú,2009-12-01,,,,5.470000,5.640000,5.370000,5.620000,14.576820,,0.025547,57674960.000000,319726470.000000,0.020478,15828485920.000000,15828485920.000000,0.000000,0.000000,-715.742565,0.489305,5.514307,1.274963,,,,,,,,,,,41.445653,53.308284,17.720391,,,,,75.000000,68.055556,,,,0.049270,0.844888
sh600001,ºªµ¦¸ÖÌú,2009-11-30,,,,5.350000,5.480000,5.290000,5.480000,14.213702,,0.033962,51363027.000000,277206324.000000,0.018237,15434182000.000000,15434182000.000000,0.000000,0.000000,-697.912982,0.477116,5.376942,1.243203,,,,,,,,,,,40.168480,59.239599,2.026240,,,,,66.666667,66.666667,,,,0.035849,0.594782
sh600001,ºªµ¦¸ÖÌú,2009-11-27,,,,5.490000,5.550000,5.290000,5.300000,13.746832,,-0.055258,51752875.000000,279045370.000000,0.018375,14927219820.000000,14927219820.000000,0.000000,0.000000,-674.989005,0.461445,5.200329,1.202368,,,,,,,,,,,47.586053,68.775159,5.207840,,,,,66.666667,66.666667,,,,0.046346,0.587527
